Name,S1,S2,S3,S4,Cluster
IA Polk,0.10041186,0.10695532,0.64853776,0.22967115,D
IA Pottawattamie,0.050834503,0.06699384,0.41852495,0.5126212,A
IA Poweshiek,0.11896574,9.41464e-17,0.51510584,0.4043861,A
IA Ringgold,0.03589069,8.044002e-17,0.2513542,0.67729276,B
IA Sac,6.851939e-8,8.044002e-17,0.30249158,0.6631192,A
IA Scott,0.021695396,0.0622239,0.5682421,0.3529368,A
IA Shelby,0.024421262,8.044002e-17,0.35376567,0.6025027,A
IA Sioux,0.021892056,0.08446688,0.41493288,0.42011943,A
IA Story,0.028422223,0.10890014,0.7556778,0.11641281,D
IA Tama,0.38594136,1.0473452e-14,0.39954802,0.4224699,A
IA Taylor,0.057282392,0.015904272,0.29900265,0.6301607,A
IA Union,0.02540938,4.8834787e-5,0.3294842,0.6309519,A
IA Van Buren,0.03187764,8.044002e-17,0.2415827,0.7096436,B
IA Wapello,0.2257727,0.07864302,0.31306407,0.5061134,A
IA Warren,0.017409157,8.044002e-17,0.5035665,0.44139543,A
IA Washington,0.11730558,2.9750602e-14,0.42985365,0.4837885,A
IA Wayne,0.03244583,1.6184985e-15,0.20792727,0.74957126,B
IA Webster,0.0508618,0.048125952,0.34520978,0.58767426,A
IA Winnebago,0.061315294,8.044002e-17,0.39008445,0.5500511,A
IA Winneshiek,0.018621838,1.0210073e-9,0.5832616,0.33838063,A
IA Woodbury,0.16670945,0.16917174,0.39770737,0.38804126,A
IA Worth,5.6807575e-17,8.044002e-17,0.2999498,0.65606815,A
IA Wright,0.10132604,0.048625775,0.36089647,0.55136967,A
