FID,id,X,Y,OBJECTID,TNMID,HUC8,NAME,GLOBALID,gridcell,HUC8i
75,151122,-109.656250000000000,40.156250000000000,1078.000000000000000,{D627E4A4-C620-4316-A170-0D390CC2E979},14060010,Lower Green-Diamond,{433948DC-7A44-4B4F-A6F8-26B122162AE6},97273,14060010
76,191510,-108.031250000000000,37.531250000000000,182.000000000000000,{3F47C242-CFCE-440A-B7D5-F858EE82D51D},14080104,Animas,{BBFDC97F-1698-4A52-92BD-66700877BFBA},129512,14080104
77,267417,-108.781250000000000,32.593750000000000,177.000000000000000,{CE4F5BF3-905F-4C45-9D23-BA118949FD40},15040003,Animas Valley,{07E908AC-5BCE-454A-BCA7-9B3916D2C2E0},183576,15040003
78,234683,-112.531250000000000,34.718750000000000,778.000000000000000,{B84E4101-5C01-4FE3-82D1-D63EAB642A18},15060202,Upper Verde,{D1EC22ED-EAC1-4E22-90E4-4E36901C7136},161991,15060202
79,246266,-109.343750000000000,33.968750000000000,771.000000000000000,{70FAA9A0-71ED-486D-A963-D469E34637D0},15060101,Black,{A8FBBC15-63E8-4E56-8753-B4AB10753DAF},170114,15060101
80,150194,-107.593750000000000,40.218750000000000,1235.000000000000000,{E174065A-2AA4-49D1-B443-F550A60C869D},14050001,Upper Yampa,{B4C1F939-C96D-4016-8FCC-0CBD62EAE816},96502,14050001
81,133840,-108.656250000000000,41.281250000000000,1117.000000000000000,{A28FAF78-C815-46A0-B5AB-B2E552C4E870},14040109,Vermilion,{B52846F8-F355-430C-B58D-B78F725CD62E},82682,14040109
82,216465,-109.968750000000000,35.906250000000000,748.000000000000000,{0B10F4B7-AB8D-46C1-8343-18C4CF75FC25},15020014,Jadito Wash,{B629A117-EDCD-400A-96E3-4DF0929642B1},148494,15020014
83,202016,-112.093750000000000,36.843750000000000,732.000000000000000,{B0F45574-8471-4A73-95F2-582A22BD57D9},15010001,Lower Colorado-Marble Canyon,{B168C206-2635-45B8-AEF3-92533A4D3DA7},137497,15010001
84,234662,-113.843750000000000,34.718750000000000,759.000000000000000,{26F1863E-A5D1-4473-8FD1-3FFD00DCEFC1},15030204,Bill Williams,{69A3ACCF-4769-4702-9794-C1BFF44AD834},161970,15030204
